propertyCode,propertyType,municipality,status,numPhotos,rooms,bathrooms,floor,size,priceByArea,parkingSpacePrice,exterior,hasVideo,hasPlan,has3DTour,has360,hasLift,isFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,latitude,longitude,price
98251392,flat,Alberique,good,34,3,2,0,81.0,5.0,0.0,True,False,False,False,False,True,True,False,False,39.1182027,-0.5191811,445.0
98243092,flat,Puçol,good,17,2,2,0,83.0,11.0,0.0,False,False,True,False,False,True,True,False,False,39.6138034,-0.3038422,900.0
98203489,flat,Riba-Roja de Túria,good,18,3,2,2,102.0,6.0,0.0,True,True,True,False,False,True,True,False,False,39.5417293,-0.5719942,575.0
93846656,penthouse,València,good,37,1,1,6,45.0,19.0,0.0,True,False,True,False,False,True,True,False,False,39.4679021,-0.3683116,850.0
98146902,flat,Alboraya,good,7,1,1,2,65.0,29.0,0.0,True,True,False,False,False,True,True,True,True,39.4889735,-0.3239693,1900.0
98103604,flat,València,good,45,3,2,5,130.0,8.0,0.0,True,False,True,False,False,True,True,False,False,39.4691559,-0.3701223,1100.0
98108490,flat,Rocafort,good,22,2,2,1,105.0,7.0,0.0,True,False,False,False,False,True,True,True,True,39.5332923,-0.4125874,700.0
98107834,flat,Silla,good,42,3,2,4,102.0,5.0,0.0,True,False,True,False,False,True,True,False,False,39.3655465,-0.4091891,500.0
98089445,flat,Godella,good,37,4,2,4,112.0,7.0,0.0,True,False,False,False,False,True,True,False,False,39.5199104,-0.4145696,750.0
98052035,flat,València,good,17,2,1,2,55.0,10.0,0.0,True,False,False,False,False,False,True,False,False,39.4569185,-0.3662317,550.0
98030681,flat,València,good,26,4,2,1,95.0,12.0,0.0,True,True,True,False,False,True,True,False,False,39.4734969,-0.3466409,1099.0
97959491,flat,Alboraya,good,15,2,1,1,65.0,13.0,0.0,True,False,False,False,False,True,True,True,True,39.5084582,-0.3224583,850.0
97949787,flat,El Perellonet,good,18,3,2,0,145.0,15.0,0.0,True,False,False,False,False,True,True,False,False,39.2799283,-0.2784919,2200.0
97877144,flat,Alboraya,good,15,1,1,4,65.0,14.0,0.0,True,False,False,False,False,True,True,False,False,39.5107404,-0.3222146,900.0
97876681,flat,València,good,20,3,1,3,75.0,21.0,0.0,True,False,False,False,False,True,True,False,False,39.4648625,-0.3797386,1600.0
97851534,flat,Alboraya,good,14,1,1,4,65.0,29.0,0.0,True,False,False,False,False,True,True,False,False,39.5097404,-0.3214146,1900.0
97810685,flat,Burjassot,good,12,3,1,3,86.0,10.0,0.0,True,False,False,False,False,False,True,False,False,39.5071449,-0.4113808,890.0
97800010,flat,València,good,14,1,1,2,50.0,27.0,0.0,True,False,False,False,False,True,True,False,False,39.4707421,-0.3813481,1350.0
97785382,flat,València,good,26,2,1,2,80.0,14.0,0.0,True,False,True,False,False,True,True,False,False,39.4800593,-0.3775873,1100.0
97785267,penthouse,València,good,19,2,1,3,61.0,25.0,0.0,True,False,False,False,False,True,True,False,False,39.4773588,-0.377347,1500.0
97624319,chalet,Torrent,good,20,3,2,0,120.0,13.0,0.0,False,False,False,False,False,False,True,True,True,39.4268384,-0.6029191,1500.0
97564178,penthouse,Alboraya,good,15,2,2,9,150.0,15.0,0.0,True,False,False,False,False,False,True,False,False,39.5151545,-0.321296,2200.0
81875198,flat,València,good,37,3,2,5,109.0,8.0,0.0,True,True,True,False,False,True,True,False,False,39.4692087,-0.3494998,900.0
97491721,flat,Puçol,good,14,2,2,1,80.0,16.0,0.0,True,False,False,False,False,True,True,True,True,39.614854,-0.300394,1300.0
97410492,chalet,Serra,good,15,4,2,0,150.0,10.0,0.0,False,False,False,False,False,False,True,False,False,39.6918232,-0.4224622,1500.0
97271018,flat,València,good,18,1,1,2,60.0,23.0,0.0,True,False,False,False,False,True,True,False,False,39.47434,-0.3727373,1400.0
97081570,penthouse,Playa Puig,good,18,2,2,7,220.0,25.0,0.0,True,False,False,False,False,True,True,True,True,39.5843341,-0.273406,5400.0
97074901,flat,València,good,13,2,1,2,87.0,23.0,0.0,True,False,False,False,False,False,True,False,False,39.4667472,-0.3289767,2000.0
97061272,flat,València,good,19,3,1,4,85.0,13.0,0.0,True,False,False,False,False,True,True,False,False,39.4729162,-0.3427315,1100.0
96620960,chalet,L'Eliana,good,14,3,4,0,180.0,14.0,0.0,False,False,False,False,False,False,True,True,True,39.5587204,-0.5310063,2500.0
95751108,flat,València,good,10,2,1,2,50.0,40.0,0.0,True,False,False,False,False,False,True,False,False,39.4704221,-0.3311752,2000.0
95668208,penthouse,València,good,14,3,1,2,100.0,25.0,0.0,True,False,False,False,False,False,True,False,False,39.4683041,-0.3317934,2500.0
33826835,flat,València,good,80,4,2,2,140.0,10.0,0.0,True,False,False,False,False,True,True,False,False,39.4782167,-0.377269,1400.0
84358357,flat,Playa Puig,good,31,2,2,1,80.0,21.0,0.0,True,False,False,False,False,True,True,True,True,39.58425,-0.27579,1700.0
98289581,flat,València,good,30,2,1,0,95.0,10.0,0.0,True,False,False,False,False,True,True,False,False,39.4726324,-0.3602679,990.0
98276889,flat,València,good,26,3,2,7,111.0,12.0,0.0,True,True,False,False,False,True,True,False,False,39.4637716,-0.3652182,1300.0
87785288,chalet,L'Eliana,good,37,5,3,0,382.0,9.0,0.0,False,False,True,False,False,False,True,True,True,39.5586709,-0.544785,3500.0
92521931,duplex,València,good,9,2,2,3,111.0,19.0,0.0,True,False,True,False,False,True,True,False,False,39.474444,-0.3738629,2150.0
98248597,flat,València,good,27,4,1,3,95.0,10.0,0.0,True,True,True,False,False,False,True,False,False,39.4638618,-0.3750619,950.0
98235997,flat,València,good,33,3,2,2,95.0,16.0,0.0,True,False,False,False,False,True,True,False,False,39.4747128,-0.3634177,1500.0
98191706,flat,València,good,29,3,2,12,120.0,10.0,0.0,True,True,True,False,False,True,True,True,True,39.4552632,-0.3612185,1250.0
