propertyCode,numPhotos,floor,price,propertyType,size,exterior,rooms,bathrooms,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,newDevelopmentFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,parkingSpacePrice,cluster_label
97824817,10,5,800.0,penthouse,66.0,True,3,2,False,good,False,True,12.0,True,False,False,False,False,True,False,False,0.0,0
98038264,20,2,685.0,flat,126.0,True,3,2,False,good,False,True,5.0,False,False,False,False,False,True,True,True,0.0,0
98038269,10,7,800.0,studio,63.0,True,0,1,False,good,False,True,13.0,False,False,False,False,False,True,False,False,0.0,0
98038159,11,0,1200.0,flat,56.0,True,2,2,False,good,False,False,21.0,False,False,False,False,False,True,False,False,0.0,0
90282553,33,7,940.0,flat,112.0,True,4,2,False,good,False,True,8.0,False,False,False,False,False,True,False,False,0.0,0
95308852,42,0,600.0,flat,60.0,True,1,1,False,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0,0
98037907,16,1,530.0,flat,85.0,True,3,1,False,good,False,True,6.0,False,False,False,False,False,True,False,False,0.0,0
94584409,67,0,2500.0,chalet,278.0,False,4,3,False,good,False,False,9.0,True,False,True,False,False,True,True,True,0.0,2
98011803,17,5,1600.0,flat,110.0,True,5,2,False,good,False,True,15.0,False,False,False,False,False,True,False,False,0.0,0
94678801,58,0,1500.0,chalet,800.0,False,5,4,False,good,False,False,2.0,False,False,False,False,False,True,True,True,0.0,0
81510714,14,6,2000.0,flat,60.0,True,1,1,True,good,False,True,33.0,False,False,False,False,False,True,False,False,0.0,0
98037498,16,0,4000.0,chalet,301.0,False,4,3,False,good,False,False,13.0,False,False,False,False,False,True,True,True,0.0,0
97858126,32,11,1000.0,flat,75.0,True,2,1,False,good,False,True,13.0,True,False,False,False,False,True,False,False,0.0,0
93841854,32,1,1650.0,flat,110.0,True,3,1,False,good,False,False,15.0,False,False,False,False,False,True,False,False,0.0,0
97182882,34,5,3000.0,flat,200.0,True,5,3,False,good,False,True,15.0,False,False,False,False,False,True,False,False,0.0,0
98013134,25,1,2000.0,flat,159.0,True,3,2,True,good,False,True,13.0,False,False,False,False,False,True,False,False,0.0,0
97892056,16,10,700.0,flat,64.0,True,2,1,True,good,False,True,11.0,False,False,False,False,False,True,False,False,0.0,3
96913984,31,1,1600.0,flat,112.0,True,3,1,True,good,False,True,14.0,False,False,False,False,False,True,False,False,0.0,0
97962160,23,7,1200.0,flat,120.0,True,3,2,False,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0,0
97813499,23,4,1150.0,flat,65.0,True,2,1,False,good,False,True,18.0,False,False,False,False,False,True,False,False,0.0,0
98036525,15,1,1200.0,flat,87.0,True,4,2,False,good,False,True,14.0,False,False,False,False,False,True,False,False,0.0,0
98036326,8,6,1100.0,penthouse,85.0,True,3,2,False,good,False,True,13.0,False,False,False,False,False,True,False,False,0.0,0
98036190,26,3,800.0,flat,107.0,True,4,2,False,good,False,True,7.0,False,False,False,False,False,True,True,False,80.0,0
98036055,31,8,1300.0,penthouse,80.0,True,2,1,True,good,False,True,16.0,True,True,False,False,False,True,False,False,0.0,0
98035937,16,6,1000.0,flat,104.0,True,3,2,False,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0,0
98035881,5,5,650.0,flat,72.0,True,2,1,False,good,False,False,9.0,False,False,False,False,False,True,False,False,0.0,0
98035780,30,4,650.0,flat,95.0,True,3,2,False,good,False,True,7.0,False,False,False,False,False,True,True,True,0.0,0
81894053,48,1,1200.0,flat,133.0,True,5,2,False,good,False,True,9.0,False,False,False,False,False,True,False,False,0.0,0
98035529,15,2,650.0,flat,95.0,True,2,2,False,good,False,True,7.0,False,False,False,False,False,True,False,False,0.0,2
95544325,58,0,650.0,chalet,300.0,False,3,2,False,good,False,False,2.0,False,False,False,False,False,True,True,True,0.0,1
98035424,17,1,800.0,flat,60.0,True,2,1,False,good,False,True,13.0,False,False,False,False,False,True,True,True,0.0,3
98035314,19,6,1100.0,penthouse,85.0,False,3,1,True,good,False,True,13.0,False,False,False,False,False,True,False,False,0.0,0
95759317,19,2,550.0,flat,73.0,True,3,1,False,good,False,False,8.0,False,False,False,False,False,True,False,False,0.0,0
98035175,9,6,1100.0,penthouse,85.0,True,3,2,False,good,False,True,13.0,False,False,False,False,False,True,False,False,0.0,0
98035216,23,5,800.0,flat,71.0,False,2,1,False,good,False,True,11.0,False,False,False,False,False,True,False,False,0.0,0
98035154,7,3,1500.0,flat,110.0,False,3,1,False,good,False,False,14.0,False,False,False,False,False,True,False,False,0.0,0
98035073,11,0,800.0,flat,60.0,True,2,1,False,good,False,False,13.0,False,False,False,False,False,True,False,False,0.0,3
