propertyCode,numPhotos,floor,price,propertyType,size,exterior,rooms,bathrooms,latitude,longitude,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,newDevelopmentFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,parkingSpacePrice
94362367,31,4,850.0,flat,88.0,True,2,2,39.4785946,-0.3768209,False,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0
40102621,27,3,850.0,flat,110.0,True,3,2,39.4564314,-0.367743,False,good,False,True,8.0,False,False,False,False,False,True,True,True,0.0
97902336,23,5,830.0,flat,103.0,True,3,1,39.47035,-0.34359,False,good,False,True,8.0,False,False,False,False,False,True,False,False,0.0
90208964,30,0,2000.0,chalet,150.0,False,2,1,39.5175965,-0.4891882,True,good,False,False,13.0,False,False,False,False,False,True,False,False,0.0
97900686,0,5,1500.0,flat,86.0,True,3,1,39.4835862,-0.3280714,False,good,False,True,17.0,False,False,False,False,False,True,False,False,0.0
93954343,14,2,320.0,flat,38.0,True,2,1,38.8201118,-0.6074647,True,good,False,False,8.0,False,False,False,False,False,True,False,False,0.0
97049295,14,1,1100.0,flat,90.0,True,3,2,39.4682407,-0.3546462,False,good,False,False,12.0,False,False,False,False,False,True,False,False,0.0
97866206,25,2,1300.0,flat,101.0,True,4,1,39.4783883,-0.3524566,False,good,False,True,13.0,False,False,False,False,False,True,False,False,0.0
82922438,22,0,800.0,flat,80.0,True,2,1,39.462663,-0.33145,False,good,False,False,10.0,False,False,False,False,False,True,False,False,0.0
97708304,21,3,1050.0,flat,115.0,True,4,2,39.4840699,-0.3584692,False,good,False,True,9.0,False,False,False,False,False,True,False,False,0.0
97734868,36,0,2200.0,chalet,329.0,False,5,4,39.5586026,-0.5356284,False,good,False,False,7.0,False,False,False,False,False,True,True,True,0.0
97696087,19,3,1240.0,flat,104.0,True,4,3,39.476104,-0.3479052,False,good,False,True,12.0,False,False,False,False,False,True,False,False,0.0
97674996,17,3,2100.0,studio,50.0,True,0,1,39.2791,-0.27543,False,good,False,True,42.0,False,False,False,False,False,True,False,False,0.0
94607740,47,2,550.0,flat,134.0,True,4,2,38.9616295,-0.184351,False,good,False,True,4.0,False,False,False,False,False,True,False,False,0.0
96660703,6,1,650.0,flat,68.0,True,2,1,39.4792884,-0.3285563,False,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0
31079085,9,6,700.0,studio,45.0,True,0,1,39.49343,-0.36091,False,good,False,True,16.0,False,False,False,False,False,True,True,True,0.0
97550939,8,4,900.0,flat,100.0,True,4,2,39.48433,-0.3641159,False,good,False,True,9.0,False,False,False,False,False,True,False,False,0.0
92519444,23,5,1200.0,flat,150.0,True,2,2,39.46995,-0.37565,False,good,False,True,8.0,False,False,False,False,False,True,False,False,0.0
97432343,16,1,750.0,flat,65.0,True,3,1,39.4587029,-0.3911585,True,good,False,False,12.0,False,False,False,False,False,True,False,False,0.0
97131596,23,5,1200.0,penthouse,165.0,True,3,2,39.3657019,-0.4587505,False,good,False,True,7.0,False,False,False,False,False,True,True,True,0.0
96754621,14,5,750.0,flat,100.0,True,2,2,39.4378487,-0.388397,False,good,False,True,8.0,False,False,False,False,False,True,False,False,0.0
91804926,28,4,1100.0,flat,118.0,True,4,2,39.4752163,-0.358382,True,good,False,True,9.0,False,False,False,False,False,True,False,False,0.0
91693198,15,2,1800.0,flat,96.0,True,3,2,39.4591895,-0.3707839,False,good,False,True,19.0,False,False,False,False,False,True,False,False,0.0
85367191,13,5,520.0,studio,30.0,True,0,1,39.4745776,-0.3642563,False,good,False,True,17.0,False,False,False,False,False,True,False,False,0.0
37633440,8,6,1000.0,flat,100.0,True,4,2,39.4788455,-0.3550175,False,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0
97956954,18,1,900.0,duplex,100.0,True,3,3,39.4996021,-0.4746026,False,good,False,True,9.0,False,False,False,False,False,True,True,True,0.0
38729853,16,5,900.0,flat,108.0,True,3,2,39.4451531,-0.3878685,False,good,False,True,8.0,False,False,False,False,False,True,True,True,0.0
97883586,31,5,1100.0,flat,130.0,True,4,1,39.4731604,-0.3788179,False,good,False,True,8.0,False,False,False,False,False,True,False,False,0.0
97804314,13,0,600.0,flat,79.0,True,2,1,38.9642,-0.1332999,False,good,False,False,8.0,False,False,False,False,False,True,True,True,0.0
96867806,11,5,2000.0,flat,60.0,True,2,1,38.9994035,-0.1629122,True,good,False,True,33.0,False,False,False,False,False,True,True,True,0.0
90090017,14,4,1500.0,flat,135.0,True,5,2,39.4690226,-0.391015,False,good,False,True,11.0,False,False,False,False,False,True,False,False,0.0
90914345,13,3,1100.0,flat,110.0,True,2,1,39.4749665,-0.3807231,False,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0
97701719,18,4,1200.0,flat,120.0,True,4,2,39.4749381,-0.3458633,False,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0
91664440,16,1,940.0,flat,65.0,True,2,1,39.4736114,-0.3797471,False,good,False,False,14.0,False,False,False,False,False,True,False,False,0.0
97670553,15,1,1000.0,flat,82.0,True,3,1,39.4759882,-0.36284,False,good,False,True,12.0,False,False,False,False,False,True,False,False,0.0
35936682,18,5,1300.0,penthouse,93.0,True,3,2,39.4745245,-0.3887775,False,good,False,True,14.0,False,False,False,False,False,True,False,False,0.0
82218800,17,2,900.0,flat,86.0,True,2,2,39.4723035,-0.3715913,False,good,False,False,10.0,False,False,False,False,False,True,False,False,0.0
97614874,12,3,1000.0,flat,110.0,True,4,1,39.4745331,-0.3888334,False,good,False,True,9.0,False,False,False,False,False,True,False,False,0.0
94359504,23,1,1400.0,flat,90.0,True,4,2,39.4746022,-0.3367161,False,good,False,False,16.0,False,False,False,False,False,True,False,False,0.0
36684024,17,1,1200.0,flat,175.0,True,3,2,39.5674109,-0.4749614,False,good,False,True,7.0,False,False,False,False,False,True,True,True,0.0
97551667,18,1,1800.0,flat,40.0,True,1,1,39.4708647,-0.3268822,False,good,False,False,45.0,False,False,False,False,False,True,False,False,0.0
94693895,16,1,1200.0,flat,118.0,True,4,2,39.4657336,-0.3395098,True,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0
97510681,23,0,3200.0,chalet,150.0,False,4,3,39.5824049,-0.5150394,True,good,False,False,21.0,False,False,False,False,False,True,True,True,0.0
97408847,13,3,1290.0,flat,110.0,True,3,2,39.4671468,-0.3684973,False,good,False,True,12.0,False,False,False,False,False,True,False,False,0.0
97143098,19,2,2800.0,flat,80.0,True,3,2,39.2262477,-0.2473366,False,good,False,False,35.0,False,False,False,False,False,True,False,False,0.0
97316868,18,8,1350.0,flat,115.0,True,2,2,39.4741995,-0.3806151,False,good,False,True,12.0,False,False,False,False,False,True,False,False,0.0
97242391,13,1,1200.0,flat,90.0,True,4,2,39.4867423,-0.3642091,True,good,False,True,13.0,False,False,False,False,False,True,False,False,0.0
97081734,13,0,450.0,flat,113.0,True,4,1,38.9710305,-0.1899209,False,good,False,True,4.0,False,False,False,False,False,True,True,True,0.0
96867802,19,5,2000.0,flat,54.0,True,2,2,38.9980119,-0.1631966,True,good,False,True,37.0,False,False,False,False,False,True,True,True,0.0
94726735,13,0,1800.0,flat,58.0,True,2,1,38.9994035,-0.1629122,True,good,False,True,31.0,False,False,False,False,False,True,False,False,0.0
96642887,34,3,3450.0,duplex,261.0,True,3,4,39.4760638,-0.3776361,False,good,False,True,13.0,False,False,False,False,False,True,True,True,0.0
96019895,20,2,650.0,flat,115.0,True,3,2,38.9715076,-0.1697663,False,good,False,True,6.0,False,False,False,False,False,True,True,True,0.0
93532100,16,4,2500.0,flat,110.0,True,2,2,39.4721438,-0.3761328,False,good,False,True,23.0,False,False,False,False,False,True,True,True,0.0
94411145,14,6,1400.0,flat,54.0,True,1,1,38.9994035,-0.1629122,True,good,False,True,26.0,False,False,False,False,False,True,False,False,0.0
96206034,15,8,750.0,duplex,160.0,True,3,3,39.1519182,-0.425484,False,good,False,True,5.0,False,False,False,False,False,True,True,True,0.0
85625587,16,4,600.0,flat,60.0,True,2,2,39.0059927,-0.1696791,False,good,False,True,10.0,False,False,False,False,False,True,True,True,0.0
97998059,7,3,750.0,flat,75.0,True,3,1,39.4866555,-0.3570284,False,good,False,False,10.0,False,False,False,False,False,True,False,False,0.0
88556901,14,6,1200.0,flat,106.0,True,3,2,39.4681518,-0.3428825,False,good,False,True,11.0,False,False,False,False,False,True,False,False,0.0
97973261,17,7,1000.0,penthouse,140.0,True,3,2,39.5184375,-0.4364863,False,good,False,True,7.0,False,False,False,False,False,True,True,True,0.0
97972508,11,4,1150.0,flat,125.0,True,4,2,39.4690486,-0.3357118,False,good,False,True,9.0,False,False,False,False,False,True,False,False,0.0
97971672,16,2,1000.0,flat,100.0,True,4,2,39.4746616,-0.3483819,False,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0
97969683,19,3,1000.0,flat,112.0,True,3,2,39.4648841,-0.3404398,False,good,False,True,9.0,False,False,False,False,False,True,True,True,0.0
97968257,15,6,875.0,flat,120.0,True,3,2,39.4847036,-0.3633504,False,good,False,True,7.0,False,False,False,False,False,True,False,False,0.0
83876484,20,5,950.0,flat,91.0,True,2,2,39.4697474,-0.3585121,False,good,False,True,10.0,False,False,False,False,False,True,True,True,0.0
97964188,27,8,900.0,flat,131.0,True,3,2,39.4649642,-0.3881862,False,good,False,True,7.0,False,False,False,False,False,True,False,False,0.0
97959638,10,0,900.0,chalet,154.0,False,4,3,39.4937327,-0.3945731,False,good,False,False,6.0,False,False,False,False,False,True,False,False,0.0
89723450,17,0,700.0,studio,45.0,True,0,1,39.4800137,-0.3798294,False,good,False,False,16.0,False,False,False,False,False,True,False,False,0.0
97955942,10,1,395.0,flat,84.0,True,3,1,38.9730836,-0.5905771,False,good,False,True,5.0,False,False,False,False,False,True,False,False,0.0
97954815,18,6,1975.0,flat,160.0,True,4,2,39.4695663,-0.3710864,False,good,False,True,12.0,False,False,False,False,False,True,False,False,0.0
97946673,17,2,1050.0,flat,95.0,True,4,2,39.549116,-0.3890883,False,good,False,True,11.0,True,False,False,False,False,True,False,False,0.0
97944308,18,4,800.0,flat,114.0,True,2,1,39.461399,-0.3893342,False,good,False,True,7.0,False,False,False,False,False,True,True,True,0.0
97944223,14,4,700.0,flat,55.0,True,1,1,39.4501641,-0.3948201,False,good,False,True,13.0,False,False,False,False,False,True,True,True,0.0
97902430,12,3,840.0,flat,69.0,True,3,1,39.4700487,-0.3332821,False,good,False,False,12.0,False,False,False,False,False,True,False,False,0.0
97932467,14,2,600.0,studio,30.0,True,0,1,39.5655999,-0.5309427,True,good,False,False,20.0,False,False,False,False,False,True,False,False,0.0
28848013,1,3,740.0,flat,90.0,True,3,2,39.4872121,-0.3626816,False,good,False,True,8.0,False,False,False,False,False,True,True,True,0.0
97917848,15,5,1200.0,flat,115.0,True,4,2,39.4727204,-0.3485163,False,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0
97900715,14,4,900.0,flat,121.0,True,3,1,39.4545512,-0.38486,False,good,False,True,7.0,False,False,False,False,False,True,False,False,0.0
97903600,16,2,690.0,flat,65.0,True,2,1,39.4545117,-0.3718838,True,good,False,False,11.0,False,False,False,False,False,True,False,False,0.0
97897728,11,1,1200.0,flat,90.0,True,2,2,39.4812185,-0.3828764,False,good,False,True,13.0,False,False,False,False,False,True,False,False,0.0
97887031,16,0,850.0,flat,65.0,True,1,1,39.6740796,-0.205665,False,good,False,True,13.0,False,False,False,False,False,True,False,False,0.0
97886407,11,3,800.0,flat,106.0,True,3,2,39.4699245,-0.3912494,False,good,False,True,8.0,False,False,False,False,False,True,True,True,0.0
84721008,19,4,550.0,flat,57.0,True,3,1,39.4665719,-0.4017803,False,good,False,False,10.0,False,False,False,False,False,True,False,False,0.0
97883339,17,2,850.0,flat,103.0,True,3,2,39.4762282,-0.371565,False,good,False,True,8.0,False,False,False,False,False,True,False,False,0.0
97878624,11,0,700.0,flat,90.0,True,3,2,39.4062,-0.4006084,False,good,False,True,8.0,False,False,False,False,False,True,True,True,0.0
97875427,16,4,720.0,flat,70.0,True,2,1,39.4569119,-0.3898204,True,good,False,True,10.0,False,False,False,False,False,True,True,False,80.0
97870171,16,3,1300.0,flat,120.0,True,4,2,39.4724183,-0.3469414,False,good,False,True,11.0,False,False,False,False,False,True,False,False,0.0
89853753,16,5,1200.0,flat,115.0,True,4,2,39.4703912,-0.3478656,False,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0
97866850,14,0,890.0,flat,79.0,False,1,1,39.4622452,-0.335224,False,good,False,True,11.0,False,False,False,False,False,True,False,False,0.0
95055966,13,1,2500.0,flat,78.0,True,2,2,39.5103132,-0.3200663,False,good,False,True,32.0,False,False,False,False,False,True,True,False,50.0
97813599,20,3,750.0,flat,75.0,True,2,1,39.4236386,-0.3892439,False,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0
97812780,16,1,850.0,flat,102.0,True,4,2,39.4904793,-0.3580261,False,good,False,True,8.0,False,False,False,False,False,True,False,False,0.0
97792290,11,5,1050.0,penthouse,75.0,True,3,1,39.3087189,-0.2980133,False,good,False,True,14.0,False,False,False,False,False,True,False,False,0.0
97760385,14,2,700.0,flat,64.0,True,2,1,39.5433953,-0.3834242,False,good,False,True,11.0,False,False,False,False,False,True,True,True,0.0
91243208,18,2,1200.0,flat,65.0,True,1,1,39.489181,-0.3271963,False,good,False,True,18.0,False,False,False,False,False,True,True,True,0.0
28423812,12,0,3500.0,chalet,477.0,False,4,4,39.564641,-0.5378113,False,good,False,False,7.0,False,False,False,False,False,True,True,True,0.0
97719698,18,0,700.0,flat,90.0,True,3,2,39.4023441,-0.4004197,False,good,False,True,8.0,False,False,False,False,False,True,True,True,0.0
91553345,30,1,1500.0,flat,170.0,True,5,2,39.47554,-0.38545,False,good,False,True,9.0,False,False,False,False,False,True,True,False,120.0
97652966,26,1,1900.0,chalet,224.0,False,3,2,39.5629649,-0.4791182,False,good,False,False,8.0,False,False,False,False,False,True,True,True,0.0
37848552,14,1,600.0,flat,45.0,True,1,1,39.4710832,-0.400915,False,good,False,True,13.0,False,False,False,False,False,True,False,False,0.0
97615068,12,0,620.0,flat,62.0,True,3,1,39.4890737,-0.3847797,False,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0
92689406,59,0,3200.0,chalet,245.0,False,4,3,39.6400778,-0.3442829,False,good,False,False,13.0,False,False,False,False,False,True,True,True,0.0
97461324,33,7,900.0,penthouse,40.0,True,0,1,39.4944583,-0.3594505,False,good,False,True,23.0,False,False,False,False,False,True,True,True,0.0
97461956,23,3,1290.0,flat,110.0,True,3,2,39.4672468,-0.3692973,False,good,False,True,12.0,False,False,False,False,False,True,False,False,0.0
97206694,15,1,1100.0,flat,120.0,False,4,2,39.6615434,-0.2286011,False,good,False,True,9.0,False,False,False,False,False,True,False,False,0.0
96261467,18,1,1000.0,flat,78.0,True,2,2,39.4762849,-0.3772036,True,good,False,False,13.0,False,False,False,False,False,True,False,False,0.0
89630218,14,2,1310.0,flat,70.0,False,1,1,39.4716205,-0.3295604,False,good,False,True,19.0,False,False,False,False,False,True,True,False,150.0
97256291,20,0,1800.0,chalet,180.0,False,3,2,39.6499849,-0.5072736,True,good,False,False,10.0,False,False,False,False,False,True,False,False,0.0
97005314,17,1,1150.0,flat,110.0,True,3,2,39.4654288,-0.3915774,False,good,False,True,10.0,False,False,False,False,False,True,True,True,0.0
96993956,15,0,800.0,chalet,170.0,False,3,2,38.984892,-0.535154,False,good,False,False,5.0,False,False,False,False,False,True,False,False,0.0
96928594,19,7,1400.0,flat,140.0,True,3,2,39.4674301,-0.3844682,False,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0
90920838,12,1,1117.0,flat,60.0,False,1,1,39.4726704,-0.3792866,False,good,False,True,19.0,False,False,False,False,False,True,True,True,0.0
95944933,16,1,2200.0,flat,150.0,True,3,2,39.4755444,-0.3706045,False,good,False,True,15.0,False,False,False,False,False,True,False,False,0.0
95922504,13,1,650.0,flat,80.0,False,2,1,39.4520339,-0.607793,False,good,False,False,8.0,False,False,False,False,False,True,False,False,0.0
89258673,13,2,1420.0,flat,70.0,False,1,1,39.4720205,-0.3269604,False,good,False,True,20.0,False,False,False,False,False,True,True,False,150.0
84281448,17,2,900.0,duplex,112.0,True,2,1,39.4745091,-0.3748033,False,good,False,True,8.0,False,False,False,False,False,True,False,False,0.0
97952733,27,0,2500.0,chalet,400.0,False,6,3,39.54494,-0.39446,False,good,False,False,6.0,False,False,False,False,False,True,True,True,0.0
97955413,18,6,1975.0,flat,160.0,True,4,2,39.4666905,-0.3686621,False,good,False,False,12.0,False,False,False,False,False,True,False,False,0.0
97531929,12,1,950.0,flat,106.0,True,3,2,39.4705682,-0.3760921,False,good,False,True,9.0,False,False,False,False,False,True,False,False,0.0
97942302,23,0,850.0,countryHouse,140.0,False,5,2,39.5440713,-0.5662191,False,good,False,False,6.0,False,False,False,False,False,True,False,False,0.0
97927338,13,5,1200.0,flat,115.0,True,4,2,39.4709044,-0.3478856,False,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0
97921971,19,0,650.0,flat,60.0,True,2,1,39.6781771,-0.2062913,False,good,False,True,11.0,False,False,False,False,False,True,True,True,0.0
97910174,19,0,840.0,chalet,52.0,False,2,1,39.5731273,-0.5045298,False,good,False,False,16.0,False,False,False,False,False,True,True,True,0.0
97909692,28,5,950.0,flat,115.0,True,4,1,39.4762931,-0.3326771,False,good,False,True,8.0,False,False,False,False,False,True,False,False,0.0
97886162,15,2,550.0,flat,97.0,True,3,2,39.1633165,-0.2592087,False,good,False,True,6.0,False,False,False,False,False,True,False,False,0.0
97876574,12,1,890.0,flat,62.0,True,2,1,39.4750966,-0.3844802,False,good,False,True,14.0,False,False,False,False,False,True,False,False,0.0
97827625,15,0,2000.0,flat,110.0,True,2,1,39.4709733,-0.3771595,False,good,False,False,18.0,False,False,False,False,False,True,False,False,0.0
97779226,15,0,2500.0,chalet,171.0,False,3,3,39.544355,-0.4262972,False,good,False,False,15.0,False,False,False,False,False,True,True,True,0.0
97776282,56,0,2200.0,chalet,330.0,False,5,3,39.5580233,-0.5348045,False,good,False,False,7.0,False,False,False,False,False,True,True,True,0.0
97764004,11,0,700.0,flat,99.0,True,3,2,39.4065011,-0.3996314,False,good,False,True,7.0,False,False,False,False,False,True,True,True,0.0
97755803,17,3,1300.0,flat,114.0,True,4,2,39.4717608,-0.3449313,False,good,False,True,11.0,False,False,False,False,False,True,False,False,0.0
97722643,23,1,550.0,flat,55.0,True,1,1,39.5894192,-0.3424185,True,good,False,True,10.0,False,False,False,False,False,True,True,True,0.0
97601471,21,4,1800.0,penthouse,64.0,True,1,1,39.4784165,-0.3763119,True,good,False,True,28.0,False,False,False,False,False,True,False,False,0.0
94710951,50,2,680.0,chalet,120.0,False,3,2,39.6032451,-0.7234312,False,good,False,False,6.0,False,False,False,False,False,True,False,False,0.0
97058027,22,1,1100.0,flat,90.0,True,3,2,39.4667407,-0.3528462,False,good,False,False,12.0,False,False,False,False,False,True,False,False,0.0
96918816,2,1,1400.0,flat,70.0,True,2,2,39.4692302,-0.3258118,False,good,False,False,20.0,True,False,False,False,False,True,False,False,0.0
96604030,36,5,1300.0,duplex,103.0,False,3,2,39.3672453,-0.4567868,False,good,False,True,13.0,False,False,False,False,False,True,True,True,0.0
87139743,34,1,375.0,flat,70.0,True,2,1,38.9963315,-0.1610726,False,good,False,True,5.0,False,False,False,False,False,True,False,False,0.0
97985041,12,1,1000.0,flat,110.0,True,4,2,39.4707036,-0.3855282,False,good,False,True,9.0,False,False,False,False,False,True,False,False,0.0
