propertyCode,price,numPhotos,floor,rooms,bathrooms,size,parkingSpacePrice,exterior,hasParkingSpace,isParkingSpaceIncludedInPrice,hasLift,hasPlan,has360,has3DTour,hasVideo,propertyType,direction
98149340,975.0,25,1,1,1,90.0,0.0,True,True,True,True,True,False,False,True,duplex,central
98375022,1500.0,32,4,5,2,150.0,0.0,True,False,False,True,True,False,False,True,flat,central
98375508,1100.0,26,2,1,1,98.0,0.0,True,True,True,True,True,False,False,True,duplex,central
98382111,2000.0,27,5,2,2,110.0,0.0,True,False,False,False,True,False,False,True,penthouse,central
98432448,800.0,24,3,2,1,82.0,0.0,True,False,False,False,False,False,False,False,flat,central
98528721,1200.0,24,0,4,3,148.0,0.0,False,True,True,False,False,False,False,False,chalet,central
92366500,507.0,10,0,2,1,69.0,0.0,True,True,True,True,False,False,False,False,flat,central
98546721,1200.0,18,4,3,2,112.0,0.0,True,False,False,True,False,False,False,False,flat,central
98546621,550.0,11,1,1,1,40.0,0.0,True,False,False,False,False,False,False,False,flat,north
98546425,680.0,14,4,3,1,70.0,0.0,True,False,False,True,False,False,False,False,flat,central
98546267,500.0,13,3,4,1,100.0,0.0,True,False,False,True,False,False,False,False,flat,south
98207233,3350.0,43,3,2,1,60.0,0.0,True,False,False,True,True,False,False,True,flat,central
98545690,1000.0,34,7,3,2,159.0,0.0,True,False,False,True,False,False,False,False,flat,central
96281795,1250.0,27,1,3,2,120.0,0.0,True,True,True,True,False,False,False,False,flat,central
88622140,1382.0,15,1,3,2,140.0,0.0,True,True,True,True,False,False,False,False,flat,central
98086800,1650.0,15,2,3,2,90.0,0.0,True,False,False,True,False,False,False,False,flat,central
30929425,1250.0,34,2,3,2,133.0,0.0,True,True,True,True,True,True,False,True,flat,central
98544696,695.0,28,1,4,2,90.0,0.0,True,False,False,False,False,False,False,False,flat,central
87763637,750.0,11,0,2,2,76.0,0.0,True,False,False,False,False,False,False,False,flat,central
98544514,1300.0,40,4,2,2,91.0,0.0,True,True,True,True,True,False,False,False,flat,central
98544341,1600.0,20,7,2,1,82.0,0.0,True,False,False,True,False,False,False,True,flat,central
98544295,1350.0,15,2,1,1,50.0,0.0,True,False,False,True,False,False,False,False,flat,central
98544159,1290.0,34,2,5,2,184.0,100.0,True,True,False,True,False,False,False,False,flat,central
98544055,1290.0,30,2,5,2,185.0,100.0,True,True,False,True,False,False,False,True,flat,central
95355138,850.0,15,3,3,1,110.0,0.0,True,False,False,False,False,False,False,False,flat,central
98543650,1700.0,25,4,4,2,158.0,0.0,True,True,True,True,True,False,False,False,flat,central
98543630,4500.0,76,0,5,4,540.0,0.0,False,True,True,False,False,False,False,True,chalet,north
84437167,650.0,16,4,3,1,70.0,0.0,True,False,False,True,False,False,False,False,flat,central
98543462,2500.0,26,0,5,3,258.0,0.0,False,True,True,False,True,False,False,False,chalet,west
98543478,650.0,16,1,2,1,65.0,0.0,True,False,False,False,False,False,False,False,flat,central
98543274,700.0,18,3,2,1,60.0,0.0,True,True,True,True,False,False,False,False,flat,central
96390364,1000.0,18,0,1,2,70.0,0.0,False,True,True,False,False,False,False,False,flat,central
98542988,750.0,10,6,3,2,100.0,0.0,True,False,False,True,False,False,False,False,flat,central
97942302,850.0,23,0,5,2,140.0,0.0,False,False,False,False,False,False,False,False,countryHouse,west
97956954,900.0,18,1,3,3,100.0,0.0,True,True,True,True,False,False,False,False,duplex,central
98200619,1200.0,26,2,3,2,145.0,0.0,True,False,False,True,False,False,False,False,flat,central
97530419,850.0,27,5,3,1,76.0,0.0,False,False,False,True,False,False,False,True,flat,central
97948804,2500.0,24,0,3,2,219.0,0.0,False,True,True,False,False,False,False,False,chalet,north
98029302,700.0,29,6,3,1,92.0,0.0,True,False,False,True,False,False,False,False,flat,central
97561853,1050.0,21,8,3,2,100.0,0.0,True,False,False,True,False,False,False,False,flat,central
98343131,750.0,16,2,3,1,78.0,0.0,True,False,False,True,False,False,False,True,flat,central
94260211,1200.0,33,7,3,2,120.0,0.0,True,False,False,True,False,False,False,False,flat,central
36562989,900.0,11,6,1,1,72.0,0.0,True,False,False,True,False,False,False,False,flat,central
98343051,1200.0,24,3,3,2,240.0,0.0,True,True,True,True,False,False,False,False,penthouse,central
98342750,1000.0,8,5,2,1,85.0,0.0,True,False,False,True,False,False,False,False,flat,central
